fartoynavn,avgangshavn_navn,ankomsthavn_navn,etd_estimert_avgangstidspunkt,ankomsttidspunkt
AMALIE,Risavika,Risavika,2022-01-03 07:05:00+00:00,2022-01-03 07:20:00+00:00
MISANA,Årdalstangen,Høyanger,2022-01-06 21:45:00+00:00,2022-01-07 05:40:00+00:00
MISANA,Håvik,Husøy - Karmøy,2022-01-08 11:55:00+00:00,2022-01-08 12:40:00+00:00
AQUA HOMBOROY,Holla,Vikan - Smøla,2022-01-01 22:50:00+00:00,2022-01-02 03:20:00+00:00
ICE,Ørsta,Trondheim,2022-01-03 21:30:00+00:00,2022-01-04 10:55:00+00:00
HARALD MARTIN,Torsken,Stokmarknes,2022-01-03 07:55:00+00:00,2022-01-03 17:30:00+00:00
ISLAND CONTENDER,Risavika,Stavanger,2022-01-03 15:00:00+00:00,2022-01-03 17:00:00+00:00
FALKSUND,Bøneset - Karmøy,Storesund,2022-01-03 10:30:00+00:00,2022-01-03 11:00:00+00:00
TRONDS LAX,Horsøy,Høylandsbygda,2022-01-03 12:00:00+00:00,2022-01-03 17:30:00+00:00
REM HRIST,Dusavik,Stavanger,2022-01-02 17:00:00+00:00,2022-01-03 15:00:00+00:00
NIDARO,Skjervøy,Blokken,2022-01-03 13:33:00+00:00,2022-01-04 09:00:00+00:00
NORSEA FIGHTER,Brattvåg,Tomrefjord,2022-01-03 16:00:00+00:00,2022-01-04 08:00:00+00:00
INTER BARENTS,Rypefjord,Alta,2022-01-03 10:30:00+00:00,2022-01-03 15:30:00+00:00
HOURAI MARU,Kårstø,Brunsbüttel,2022-01-06 04:00:00+00:00,2022-01-07 09:00:00+00:00
RONJA KVALOY,Frøysjøen,Steinsvika - Volda,2022-01-03 22:59:00+00:00,2022-01-04 08:00:00+00:00
STORNES,Lessremman,Elnesvågen,2022-01-10 04:30:00+00:00,2022-01-11 07:30:00+00:00
TRANS CARRIER,Kristiansund,Husøy - Karmøy,2022-01-07 05:45:00+00:00,2022-01-08 05:50:00+00:00
FITNES,Jelsa,Dirdal,2022-01-01 11:30:00+00:00,2022-01-01 15:30:00+00:00
NCL SVELGEN,Averøy,Orkanger,2022-01-02 14:50:00+00:00,2022-01-02 21:10:00+00:00
BREIVIK JUNIOR,Florø,Ålesund,2022-01-01 17:00:00+00:00,2022-01-02 05:00:00+00:00
ROCKPIPER,Stavanger,Mekjarvik,2022-01-03 07:17:00+00:00,2022-01-03 08:45:00+00:00
BEATA,Rekefjord,Bekkeri,2022-01-02 12:00:00+00:00,2022-01-05 15:59:00+00:00
NORA THOMSEN,Storøya Øst,Hirtshals,2022-01-07 12:00:00+00:00,2022-01-08 10:59:00+00:00
VAITERE 2,Valsneset,Namsos,2022-01-05 21:30:00+00:00,2022-01-06 06:00:00+00:00
MARTIN H,Narvik,Hekkelstrand,2022-01-06 03:00:00+00:00,2022-01-06 04:30:00+00:00
TAUMAR,Ålesund,Koparnes,2022-01-05 19:30:00+00:00,2022-01-05 22:50:00+00:00
HORDAFOR VII,Hestvika,Lovund,2022-01-06 07:10:00+00:00,2022-01-07 00:00:00+00:00
AURORA EXPLORER,Tromsø,Tromsø,2022-01-06 08:00:00+00:00,2022-01-06 14:55:00+00:00
ASBJORN SELSBANE,Sommarøy,Barentshavet,2022-01-06 07:01:00+00:00,2022-01-06 10:02:00+00:00
WITH JUNIOR,Bodø,Bogøy,2022-01-02 02:30:00+00:00,2022-01-02 06:30:00+00:00
KAP FARVEL,Båtsfjord,Barentshavet,2022-01-04 17:00:00+00:00,2022-01-04 22:00:00+00:00
SAFE ZEPHYRUS,Ågotnes,Nordsjøen,2022-01-09 18:00:00+00:00,2022-01-16 08:00:00+00:00
SVEASUND,Rørvik,Ålesund,2022-01-01 07:00:00+00:00,2022-01-02 05:30:00+00:00
KRISTINE BONNEVIE,Bergen,Nordsjøen,2022-01-07 10:30:00+00:00,2022-01-07 21:00:00+00:00
HAVILA FORESIGHT,Nordsjøen,Mongstadbase,2022-01-02 12:00:00+00:00,2022-01-02 17:00:00+00:00
ANMI,Drammen,Rotterdam,2022-01-03 17:15:00+00:00,2022-01-06 05:00:00+00:00
MOLNES,Tromsø,Barentshavet,2022-01-05 19:00:00+00:00,2022-01-06 11:00:00+00:00
ISLAND CLIPPER,Mongstadbase,Offshoreinst. Nordsjøen,2022-01-02 14:30:00+00:00,2022-01-02 22:00:00+00:00
NCL SVELGEN,Glomfjord,Orkanger,2022-01-06 12:00:00+00:00,2022-01-07 06:45:00+00:00
SPLITTNES,Jelsa,Odense,2022-01-04 05:00:00+00:00,2022-01-05 23:30:00+00:00
BAARDSUND ,Sunde,Ombo,2022-01-02 10:00:00+00:00,2022-01-02 20:20:00+00:00
AUSEKLIS,Barentshavet,Hammerfest,2022-01-02 07:00:00+00:00,2022-01-03 03:30:00+00:00
OLYMPIC ENERGY,Offshoreinst. Nordsjøen,Dusavik,2022-01-02 20:40:00+00:00,2022-01-03 07:45:00+00:00
SIEM SYMPHONY,Offshoreinst. Nordsjøen,Risavika,2022-01-03 05:25:00+00:00,2022-01-03 16:00:00+00:00
JSP SLEIPNER,Ålesund,Bremerhaven,2022-01-04 07:00:00+00:00,2022-01-06 05:00:00+00:00
ICE,Mo i Rana,Harstad ,2022-01-05 12:30:00+00:00,2022-01-06 07:35:00+00:00
VIKTORIA LADY,Harstad ,Torsken,2022-01-02 04:20:00+00:00,2022-01-02 08:00:00+00:00
WILSON LUGA,Åheim,Duisburg,2022-01-06 11:00:00+00:00,2022-01-10 10:20:00+00:00
PIRAJA,Kristiansand,Nordsjøen,2022-01-03 11:23:00+00:00,2022-01-03 15:24:00+00:00
ISLAND VANGUARD,Mongstadbase,Sløvåg Industriområde,2022-01-04 01:00:00+00:00,2022-01-04 02:00:00+00:00
UDVAAR III,Nordsjøen,Kristiansand,2022-01-03 16:02:00+00:00,2022-01-03 19:56:00+00:00
NORDBAS,Offshore,Tromsø,2022-01-03 22:00:00+00:00,2022-01-04 07:00:00+00:00
NORMAND SUPPORTER,Ekofisk,Risavika,2022-01-03 20:20:00+00:00,2022-01-04 14:00:00+00:00
EIDSVAAG VEGA,Stokmarknes,Averøy,2022-01-04 00:00:00+00:00,2022-01-06 09:00:00+00:00
RO ARCTIC,Alta,Lafjorden,2022-01-03 17:30:00+00:00,2022-01-04 03:00:00+00:00
MERCATOR,Breiviga,Forus,2022-01-04 09:00:00+00:00,2022-01-04 11:00:00+00:00
REMOY,Barentshavet,Barentshavet,2022-01-04 07:00:00+00:00,2022-01-04 22:00:00+00:00
SIRI KNUTSEN,Karlsmedgrunnen Ankring,Nordsjøen,2022-01-05 15:45:00+00:00,2022-01-05 22:59:00+00:00
SVARTFOSS,Leknes,Botn - Sandnessjøen,2022-01-04 15:00:00+00:00,2022-01-05 01:30:00+00:00
COOPER VIKING,Dusavik,Sandnes,2022-01-04 13:00:00+00:00,2022-01-04 16:00:00+00:00
ISLAND VALIANT,Offshoreinst Halten-Helgeland,Kristiansund,2022-01-04 11:15:00+00:00,2022-01-04 15:00:00+00:00
AURORA HORIZON,Dusavik,Stavanger,2022-01-04 17:45:00+00:00,2022-01-04 18:15:00+00:00
WILSON HOOK,Mo i Rana,Lillebukt,2022-01-11 01:00:00+00:00,2022-01-13 08:00:00+00:00
ORAHOLM,Herøya,Ravenna,2022-01-05 08:00:00+00:00,2022-01-14 08:00:00+00:00
WILSON LISTA,Mosjøen,Follafoss,2022-01-04 21:30:00+00:00,2022-01-06 05:20:00+00:00
TAUMAR,Stranda,Ålesund,2022-01-09 16:00:00+00:00,2022-01-09 20:00:00+00:00
RO ARCTIC,Skjervøy,Tromsø,2022-01-09 10:00:00+00:00,2022-01-09 12:00:00+00:00
AASTIND,Sløvåg Industriområde,Ipswich,2022-01-11 09:30:00+00:00,2022-01-13 11:00:00+00:00
SAMSKIP KVITBJORN,Bergen,Florø,2022-01-09 17:20:00+00:00,2022-01-10 01:55:00+00:00
WILSON NARVIK,Fredericia,Tofte - Hurum,2022-01-11 14:30:00+00:00,2022-01-12 13:00:00+00:00
KILSTRAUM,Sløvåg,Gulen,2022-01-10 11:00:00+00:00,2022-01-10 13:00:00+00:00
CSL TRIMNES,Seljestokken,Hull,2022-01-11 01:42:00+00:00,2022-01-12 22:00:00+00:00
STARNES,Northfleet,Jelsa,2022-01-09 22:00:00+00:00,2022-01-12 01:00:00+00:00
ISFJORD,Recheche Fjorden,Tromsø,2022-01-11 08:45:00+00:00,2022-01-14 18:30:00+00:00
TERN SEA,Harstad ,Tromsø,2022-01-12 23:05:00+00:00,2022-01-13 05:50:00+00:00
VESTBORG,Fuglafjørdur,Averøy,2022-01-10 14:00:00+00:00,2022-01-12 17:15:00+00:00
BERGEN STAR,Mongstad,Mongstadbase,2022-01-10 18:30:00+00:00,2022-01-10 19:00:00+00:00
NORDERVEG,Skjervøy,Hammerfest,2022-01-10 16:15:00+00:00,2022-01-10 18:15:00+00:00
RAMOEN,Ålesund,Offshore,2022-01-10 22:59:00+00:00,2022-01-11 05:00:00+00:00
GADUS NEPTUN,Barentshavet,Båtsfjord,2022-01-10 01:00:00+00:00,2022-01-12 04:00:00+00:00
BRIS,Nordsjøen,Egersund,2022-01-11 00:00:00+00:00,2022-01-11 05:30:00+00:00
SVEASUND,Borkenes,Risøyhamn,2022-01-11 22:00:00+00:00,2022-01-12 00:30:00+00:00
VIKING PRINCESS,Offshoreinst. Nordsjøen,Mongstadbase,2022-01-11 11:00:00+00:00,2022-01-11 20:00:00+00:00
DENSA SEAL,Herøya,Frierfjorden Ankring,2022-01-14 16:10:00+00:00,2022-01-14 16:30:00+00:00
KUMPULA,Narvik Reden,Narvik,2022-01-12 21:20:00+00:00,2022-01-12 22:30:00+00:00
EKEN,Gudvangen,Lidköping,2022-01-14 09:50:00+00:00,2022-01-16 07:00:00+00:00
SVEALAND,Kvithylla,Trondheim,2022-01-13 12:00:00+00:00,2022-01-13 14:00:00+00:00
DINA STAR,Dusavik,Offshore,2022-01-14 22:00:00+00:00,2022-01-15 04:00:00+00:00
SUBSEA VIKING,Langevåg,Stord base,2022-01-03 07:00:00+00:00,2022-01-03 09:00:00+00:00
BOURBON MONSOON,Visund,Botnaneset - Flora,2022-01-01 10:15:00+00:00,2022-01-01 18:00:00+00:00
RONJA KVALOY,Ålesund,Steinsvika - Volda,2022-01-01 07:30:00+00:00,2022-01-01 13:00:00+00:00
NCL AVEROY,Orkanger,Ålesund,2022-01-01 16:30:00+00:00,2022-01-02 03:18:00+00:00
ROGALAND,Kristiansand,"Ukjent lokasjon, ukjent land",2022-01-06 19:00:00+00:00,2022-01-07 11:00:00+00:00
FREYJA W,Mosjøen,Høgset,2022-01-05 16:00:00+00:00,2022-01-06 20:00:00+00:00
AMADEUS,Tau,Risavika,2022-01-05 14:00:00+00:00,2022-01-05 23:01:00+00:00
WILSON HUSUM,Salten,Murmansk,2022-01-05 17:30:00+00:00,2022-01-07 21:00:00+00:00
TRANSPORTER,Fredrikstad,Halden,2022-01-03 14:15:00+00:00,2022-01-03 17:20:00+00:00
HANNAH KRISTINA,Botnaneset - Flora,Averøy,2022-01-01 17:00:00+00:00,2022-01-02 06:00:00+00:00
GROTANGER,Harstad ,Grovfjord,2022-01-01 06:00:00+00:00,2022-01-01 09:00:00+00:00
LUCITA,Falkeidflæet Ankring,Jelsa,2022-01-03 02:00:00+00:00,2022-01-03 04:05:00+00:00
HAAFJELL,Mandal,Randers,2022-01-16 01:30:00+00:00,2022-01-16 23:00:00+00:00
RO FJORD,Eggesbønes,Rovde,2022-01-10 12:30:00+00:00,2022-01-10 17:30:00+00:00
WITH MARINE,Bodø,Valsneset,2022-01-13 19:30:00+00:00,2022-01-14 17:00:00+00:00
PIONEER KNUTSEN,Kollsnes Øst,Måløy,2022-01-12 13:30:00+00:00,2022-01-12 22:30:00+00:00
