fartoynavn,avgangshavn_navn,ankomsthavn_navn,etd_estimert_avgangstidspunkt,ankomsttidspunkt
RONJA FJORD,Leirvik,Nedstrandsfjorden,2022-01-30 09:55:00+00:00,2022-01-30 16:00:00+00:00
KYST,Barstrand,Kobbvågen,2022-01-30 11:41:00+00:00,2022-01-30 15:30:00+00:00
FFS ATLAS,Lyngdal,Farsund,2022-01-30 11:45:00+00:00,2022-01-30 13:15:00+00:00
H ØSTERVOLD,Nord-Atlanteren,Faskrudsfjørdur,2022-01-30 21:40:00+00:00,2022-01-31 11:00:00+00:00
VEA,Eskifjørdur - Høfn,Nord-Atlanteren,2022-01-31 08:01:00+00:00,2022-01-31 13:00:00+00:00
HAVILA CAPELLA,Kirkenes,Bergen,2022-01-31 11:35:00+00:00,2022-02-05 17:45:00+00:00
RO WEST,Kalvneset,Svelgen,2022-01-31 13:00:00+00:00,2022-01-31 14:15:00+00:00
RO FORTUNE,Harstad ,Salangsverket,2022-01-28 13:30:00+00:00,2022-01-28 20:50:00+00:00
NYSAND,Sævlandsvik,Etne,2022-01-31 09:40:00+00:00,2022-01-31 14:40:00+00:00
NORHEIM,Wismar,Rotterdam,2022-01-31 14:00:00+00:00,2022-02-02 12:00:00+00:00
SCANBIO ELIDA,Florø,Lysøysund,2022-01-31 22:55:00+00:00,2022-02-02 07:40:00+00:00
SILVER STAR,Ålesund,Ellingsøy,2022-01-30 23:25:00+00:00,2022-01-31 00:00:00+00:00
ROSLAGEN,Sløvåg Industriområde,Knarrevik,2022-01-30 23:45:00+00:00,2022-01-31 05:30:00+00:00
BAUS,Fredrikstad,Langøya,2022-01-31 09:00:00+00:00,2022-01-31 14:30:00+00:00
HALTBAKK NAVIGATOR,Visnes - Eide,Ålesund,2022-01-31 09:48:00+00:00,2022-01-31 19:30:00+00:00
ROBRIS,Spildepollen,Rekstafjorden,2022-01-31 12:00:00+00:00,2022-01-31 20:00:00+00:00
VIKING QUEEN,Offshoreinst. Nordsjøen,Botnaneset - Flora,2022-01-31 11:50:00+00:00,2022-01-31 22:55:00+00:00
360 SUPPLIER,Vejle,Rekefjord,2022-01-31 21:00:00+00:00,2022-02-04 22:50:00+00:00
NORMAND SUPERIOR,Florø,Haugesund,2022-01-30 22:00:00+00:00,2022-01-31 17:20:00+00:00
VESTAVIND,Rekefjord,Nordsjøen,2022-01-30 20:20:00+00:00,2022-01-30 22:22:00+00:00
AURORA HORIZON,Offshoreinst. Nordsjøen,Dusavik,2022-01-31 11:00:00+00:00,2022-01-31 19:30:00+00:00
TROMS ARCTURUS,Offshoreinst Halten-Helgeland,Kristiansund,2022-01-31 13:30:00+00:00,2022-02-01 04:00:00+00:00
RO MASTER,Herøy ferjekai,Tomma,2022-01-31 12:35:00+00:00,2022-01-31 14:00:00+00:00
AQUA FJORD,Midsund,Kristiansund,2022-01-31 13:00:00+00:00,2022-01-31 18:00:00+00:00
NORMAND SUPERIOR,Killingøy,Haugesund,2022-01-31 00:00:00+00:00,2022-02-01 05:00:00+00:00
IPSWICH BAY,Sao Luis,Husnes,2022-01-23 14:15:00+00:00,2022-02-08 17:12:00+00:00
SJOGLANS,Barentshavet,Uthaug,2022-01-31 07:00:00+00:00,2022-02-02 09:30:00+00:00
LADY HELENE,Arkhangelsk,Nesnaflaket Ankring,2022-01-31 17:15:00+00:00,2022-02-04 22:15:00+00:00
RONJA FJORD,Nedstrandsfjorden,Sunde,2022-01-30 20:00:00+00:00,2022-01-31 03:45:00+00:00
PIONEER KNUTSEN,Risavika,Farsund,2022-01-31 14:00:00+00:00,2022-01-31 21:00:00+00:00
HELLEVIG I,Senjahopen,Barentshavet,2022-01-30 13:56:00+00:00,2022-01-30 19:00:00+00:00
AQUA FJELL,Rørvik,Ålesund,2022-01-30 21:30:00+00:00,2022-02-01 06:30:00+00:00
SVARTFOSS,Ålesund,Måløy,2022-01-31 11:00:00+00:00,2022-01-31 16:00:00+00:00
THESEUS,Stettin,Thamshamn,2022-01-27 18:00:00+00:00,2022-02-02 05:20:00+00:00
COLOR CARRIER,Kiel,Oslo,2022-01-31 08:57:00+00:00,2022-02-01 04:45:00+00:00
KYST,Espenesbogen,Blokken,2022-01-31 11:30:00+00:00,2022-01-31 19:30:00+00:00
HORDA PIONEER,Bekkjarvik,Frekhaug,2022-01-31 13:35:00+00:00,2022-01-31 17:00:00+00:00
WEST HERCULES,Offshoreinst. Nordsjøen,Fensfjorden,2022-01-15 14:00:00+00:00,2022-02-16 19:00:00+00:00
NORMAND SUN,Offshoreinst. Nordsjøen,Dusavik,2022-01-31 19:00:00+00:00,2022-02-01 07:00:00+00:00
RONJA STRAND,Sævrøy,Bømlo,2022-01-31 18:00:00+00:00,2022-02-01 02:00:00+00:00
HARALD MARTIN,Stokmarknes,Melbu,2022-01-31 22:00:00+00:00,2022-02-01 02:00:00+00:00
STEN FRIGG,Canvey Island,Fonnesflaket Ankring,2022-01-30 09:00:00+00:00,2022-02-01 21:15:00+00:00
GOGLAND REEFER,Las Palmas,Tromsø,2022-01-31 19:50:00+00:00,2022-02-12 16:30:00+00:00
VALERI KHARLAMOV,Ura Guba,Krigsborgan,2022-01-27 10:00:00+00:00,2022-02-04 02:45:00+00:00
EDDA FLORA,Offshore,Risavika,2022-01-29 05:00:00+00:00,2022-02-05 03:00:00+00:00
HAUGFJORD,Bjugn,Kvernhusvika,2022-01-02 01:00:00+00:00,2022-01-05 07:00:00+00:00
POLARIS,Sillamae,Sarpsborg,2022-01-31 17:31:00+00:00,2022-02-12 09:00:00+00:00
ATLANTIC LADY,Murmansk,Freifjorden 1 Ankring,2022-01-14 07:30:00+00:00,2022-01-18 10:30:00+00:00
ANDREA,Fredrikstad,Bremerhaven,2022-01-22 08:00:00+00:00,2022-01-23 19:20:00+00:00
SCAN FJORD,Ålesund,Høgset,2022-01-18 13:40:00+00:00,2022-01-18 20:15:00+00:00
FALKVIK,Vadla,Finnøy,2022-01-18 14:30:00+00:00,2022-01-18 17:55:00+00:00
NORDKABEL,Eidfjord,Hanøytangen,2022-01-18 06:30:00+00:00,2022-01-18 23:30:00+00:00
PERMIAN LADY,Le Havre,Falkeidflæet Ankring,2022-01-18 20:00:00+00:00,2022-01-21 17:00:00+00:00
WITH HARVEST,Valsneset,Jøkelfjord,2022-01-20 23:30:00+00:00,2022-01-22 02:00:00+00:00
STAVFJORD,Hanstholm,Jelsa,2022-01-18 22:59:00+00:00,2022-01-19 22:50:00+00:00
ISLAND CRUSADER,Offshoreinst. Nordsjøen,Mongstadbase,2022-01-18 20:00:00+00:00,2022-01-19 20:00:00+00:00
VIKING ENERGY,Sløvåg Industriområde,Mongstadbase,2022-01-18 20:30:00+00:00,2022-01-18 21:30:00+00:00
GRINNA,Puttgarden,Frederikshavn,2022-01-19 10:45:00+00:00,2022-01-20 08:05:00+00:00
RO FJELL,Nordskaget - Frøya,Harstad ,2022-01-18 13:00:00+00:00,2022-01-19 20:00:00+00:00
FRIGG W,Ålesund,Rotterdam,2022-01-21 21:15:00+00:00,2022-01-23 21:00:00+00:00
ICE,Moss,Tyborøn,2022-01-19 14:40:00+00:00,2022-01-20 11:00:00+00:00
NORMAND CUTTER,Husøy - Karmøy,Husøy - Karmøy,2022-01-21 09:00:00+00:00,2022-01-21 10:00:00+00:00
BERGEN ENERGY,Kleppestø,Ågotnes,2022-01-19 09:15:00+00:00,2022-01-19 10:15:00+00:00
RANA EXPRESS,Horten,Drammen,2022-01-19 14:40:00+00:00,2022-01-19 17:05:00+00:00
STRAUMBAS,Barentshavet,Træna,2022-01-19 09:31:00+00:00,2022-01-19 17:30:00+00:00
WILSON MAIN,Kaliningrad,Valsneset,2022-01-17 14:25:00+00:00,2022-01-24 11:00:00+00:00
CSL ELBE,Rafnes,Delfzijl,2022-01-22 17:30:00+00:00,2022-01-24 19:00:00+00:00
SCANBIO DART,Alta,Myre-Øksnes,2022-01-19 13:02:00+00:00,2022-01-21 02:45:00+00:00
COLOR CARRIER,Kiel,Oslo,2022-01-19 13:05:00+00:00,2022-01-20 17:00:00+00:00
WITH FROHAVET,Fiskå - Strand,Husøy - Karmøy,2022-01-19 17:30:00+00:00,2022-01-19 20:00:00+00:00
ROSTEIN,Øksfjord,Alta,2022-01-18 07:10:00+00:00,2022-01-18 11:10:00+00:00
VICTORIA,Hanstholm,Egersund,2022-01-18 06:00:00+00:00,2022-01-21 00:00:00+00:00
FANOYVAG,Barentshavet,Måløy,2022-01-21 18:00:00+00:00,2022-01-27 05:00:00+00:00
KVITUNGEN,Barentshavet,Tromsø,2022-01-20 06:25:00+00:00,2022-01-20 07:25:00+00:00
BELOS,Brevik,Skjerkøya,2022-01-20 09:00:00+00:00,2022-01-20 11:00:00+00:00
GUNNAR LANGVA,Ålesund,Nordsjøen,2022-01-20 07:30:00+00:00,2022-01-21 03:30:00+00:00
EIDSVAAG VEGA,Stokmarknes,Averøy,2022-01-17 17:30:00+00:00,2022-01-20 08:45:00+00:00
WILSON HOLLA,Mongstad,Rotterdam,2022-01-10 01:00:00+00:00,2022-01-10 14:00:00+00:00
SANDNES,Jelsa,Odense,2022-01-08 08:00:00+00:00,2022-01-09 16:00:00+00:00
USMA,Slagentangen,Gibraltar,2022-01-12 06:54:00+00:00,2022-01-12 11:00:00+00:00
SCAN-FJELL,Jøssingfjord,Moerdijk,2022-01-08 09:25:00+00:00,2022-01-10 11:00:00+00:00
NORMAND SUN,Offshoreinst. Nordsjøen,Dusavik,2022-01-06 12:00:00+00:00,2022-01-07 01:00:00+00:00
SULE VIKING,Oslo,Langøya,2022-01-06 11:45:00+00:00,2022-01-06 15:50:00+00:00
VIKNATRANS,Salten,Lekaflaket Ankring,2022-01-06 10:45:00+00:00,2022-01-07 06:00:00+00:00
NORMAND ARCTIC,Offshoreinst. Nordsjøen,Tananger,2022-01-06 16:15:00+00:00,2022-01-07 07:00:00+00:00
COLOR FANTASY,Oslo,Kiel,2022-01-06 13:20:00+00:00,2022-01-07 09:00:00+00:00
IVS PHOENIX,Narvik,Bremen,2022-01-09 10:25:00+00:00,2022-01-13 11:00:00+00:00
AQUA HAVSOY,Rørvik,Bodø,2022-01-06 17:00:00+00:00,2022-01-07 11:00:00+00:00
WITH JUNIOR,Ålesund,Ålesund,2022-01-07 17:15:00+00:00,2022-01-07 17:30:00+00:00
NORMAND SYGNA,Offshoreinst. Nordsjøen,Dusavik,2022-01-06 14:55:00+00:00,2022-01-07 07:00:00+00:00
NAMSOS,Vargsundet,Kvalfjord,2022-01-05 10:00:00+00:00,2022-01-05 12:00:00+00:00
FALKVIK,Helle - Forsand,Laksevåg,2022-01-06 22:45:00+00:00,2022-01-07 12:00:00+00:00
HORDA PIONEER,Jondal,Ågotnes,2022-01-03 10:00:00+00:00,2022-01-03 17:20:00+00:00
ICE,Sortland,Melbu,2022-01-07 22:00:00+00:00,2022-01-08 00:10:00+00:00
SVARTFOSS,Dusavik,Risavika,2022-01-07 20:00:00+00:00,2022-01-07 21:00:00+00:00
CSL TRIMNES,København,Seljestokken,2022-01-08 03:24:00+00:00,2022-01-09 22:48:00+00:00
PEARL SEAWAYS,Oslo,Frederikshavn,2022-01-07 13:15:00+00:00,2022-01-07 23:15:00+00:00
WILSON NARVIK,Tofte - Hurum,Fredericia,2022-01-08 14:00:00+00:00,2022-01-09 16:00:00+00:00
SILVAMAR,Kvinesdal,Oxelösund,2022-01-10 13:25:00+00:00,2022-01-13 09:00:00+00:00
LADY AYANA,Bøvågen - Karmøy,Kolding,2022-01-07 15:50:00+00:00,2022-01-09 09:55:00+00:00
SVEN D,Oslo,Brevik,2022-01-11 00:00:00+00:00,2022-01-11 04:00:00+00:00
EDDA FRENDE,Kopervik,Risavika,2022-01-07 14:00:00+00:00,2022-01-07 17:00:00+00:00
SKANDI VEGA,Mongstadbase,Offshoreinst. Nordsjøen,2022-01-07 15:00:00+00:00,2022-01-08 04:00:00+00:00
BJORNHAUG,Nord-Atlanteren,Myre-Øksnes,2022-01-07 21:00:00+00:00,2022-01-08 03:45:00+00:00
SCANBIO ELIDA,Lysøysund,Brekke,2022-01-07 07:00:00+00:00,2022-01-09 11:00:00+00:00
LIAHOLM,Barentshavet,Værøy Sørlandsvågen,2022-01-08 02:00:00+00:00,2022-01-08 06:00:00+00:00
BB SUPPORTER,Rubbestadneset,Rubbestadneset,2022-01-09 09:00:00+00:00,2022-01-09 19:00:00+00:00
COLOR HYBRID,Frederikshavn,Sandefjord,2022-01-08 13:00:00+00:00,2022-01-08 19:00:00+00:00
HOYDAL,Brønnøysund,Sandnessjøen,2022-01-10 03:00:00+00:00,2022-01-10 08:00:00+00:00
OCEAN STAR,Nord-Atlanteren,Egersund,2022-01-08 13:00:00+00:00,2022-01-09 10:10:00+00:00
BJUGNFJORD,Korsør,Glatved Strand,2022-01-08 17:00:00+00:00,2022-01-09 01:00:00+00:00
FRAKT SUND,Herøya,Kristiansund,2022-01-09 16:24:00+00:00,2022-01-11 09:00:00+00:00
REISA,Skjervøy,Langsundet,2022-01-09 05:30:00+00:00,2022-01-09 10:00:00+00:00
NS ORLA,Offshoreinst. Nordsjøen,Risavika,2022-01-08 22:35:00+00:00,2022-01-09 01:30:00+00:00
REM STAR,Offshoreinst. Nordsjøen,Mongstadbase,2022-01-09 02:10:00+00:00,2022-01-09 10:00:00+00:00
NAMSOS,Kvalfjord,Vargsundet,2022-01-07 20:20:00+00:00,2022-01-07 21:30:00+00:00
NEVA-LEADER 2,Murmansk,Lødingen Ankring,2022-01-08 17:00:00+00:00,2022-01-11 17:00:00+00:00
RONJA MALOY,Eide - Sotra,Ågotnes,2022-01-09 18:00:00+00:00,2022-01-09 19:30:00+00:00
SUNDERØY,Barentshavet,Sortland,2022-01-09 17:00:00+00:00,2022-01-10 15:00:00+00:00
RONJA SUND,Bømlo,Nedstrandsfjorden,2022-01-09 23:50:00+00:00,2022-01-10 05:30:00+00:00
RO NORTH,Sandnessjøen,Herøy ferjekai,2022-01-09 09:00:00+00:00,2022-01-09 13:00:00+00:00
ROHAV,Florø,Fensfjorden,2022-01-09 09:30:00+00:00,2022-01-09 17:55:00+00:00
FJELLSTRAUM,Skagen,Rafnes,2022-01-14 01:00:00+00:00,2022-01-14 12:50:00+00:00
SLOTTSTEIN,Finnsnes,Tromsø,2022-01-10 16:00:00+00:00,2022-01-10 20:00:00+00:00
MANON,Fedje ,Austevoll,2022-01-10 11:00:00+00:00,2022-01-10 15:00:00+00:00
HARALD MARTIN,Melbu,Stokmarknes,2022-01-10 13:20:00+00:00,2022-01-11 04:00:00+00:00
WILSON CORK,Murmansk,Glomfjord,2022-01-10 04:00:00+00:00,2022-01-14 01:00:00+00:00
FALKBRIS,Vestnes,Laksevåg,2022-01-10 21:45:00+00:00,2022-01-11 18:15:00+00:00
AQUA LADY,Halsa Meløy,Bodø,2022-01-10 13:05:00+00:00,2022-01-10 17:55:00+00:00
AQUA SKILSOY,Dale,Leirvik i Hyllestad,2022-01-09 08:00:00+00:00,2022-01-09 11:20:00+00:00
PEAK SKORPO,Knarrevik,Fredrikstad,2022-01-12 12:20:00+00:00,2022-01-13 18:30:00+00:00
NORDLYS,Tromsø,Kirkenes,2022-01-11 17:15:00+00:00,2022-01-13 08:00:00+00:00
NORNE,Trondheim Ankring,Steinkjer,2022-01-11 13:50:00+00:00,2022-01-11 19:00:00+00:00
CORAL PARENSIS,Rafnes,Stenungsund,2022-01-13 22:30:00+00:00,2022-01-14 23:00:00+00:00
SVEALAND,Torvika,Steinshamn,2022-01-12 14:45:00+00:00,2022-01-12 18:30:00+00:00
NORTH POMOR,Nordsjøen,Botnaneset - Flora,2022-01-11 14:00:00+00:00,2022-01-11 18:00:00+00:00
KJERVAAGSUND,Mukran,Gunhildvågen,2022-01-12 05:00:00+00:00,2022-01-15 12:50:00+00:00
WILSON TEES,Skålevik,Gdansk,2022-01-12 11:00:00+00:00,2022-01-14 10:00:00+00:00
GASO VIKING,Nordskaget - Frøya,Dalasundet,2022-01-11 13:05:00+00:00,2022-01-11 20:00:00+00:00
SLOTTSTEIN,Tromsø,Barentshavet,2022-01-11 17:50:00+00:00,2022-01-11 23:00:00+00:00
BOURBON MISTRAL,Mongstadbase,Offshoreinst. Nordsjøen,2022-01-12 16:00:00+00:00,2022-01-13 06:00:00+00:00
BREIVIK JUNIOR,Offshore,Myre-Øksnes,2022-01-11 22:00:00+00:00,2022-01-12 03:30:00+00:00
FEED RANA,Fiskå - Strand,Moss Nord,2022-01-12 09:10:00+00:00,2022-01-13 09:50:00+00:00
AQUA HAVSOY,Sandnessjøen,Sandverken lykt,2022-01-12 07:10:00+00:00,2022-01-12 12:00:00+00:00
OSLO CARRIER 2,Garrucha,Fredrikstad,2022-01-05 22:45:00+00:00,2022-01-14 10:30:00+00:00
STEINAR HALTBAKK,Rørvik,Kristiansund,2022-01-15 06:00:00+00:00,2022-01-16 04:30:00+00:00
VITYAZ,Tromsø,Tromsø,2022-01-12 20:00:00+00:00,2022-01-12 20:30:00+00:00
ROCKPIPER,Åmøyfjorden,Åmøyfjorden,2022-01-14 06:30:00+00:00,2022-01-14 19:00:00+00:00
DENSA SEAL,Frierfjorden Ankring,Herøya,2022-01-18 11:00:00+00:00,2022-01-18 12:00:00+00:00
NORJARL,Mandal,Wismar,2022-01-12 17:30:00+00:00,2022-01-14 05:00:00+00:00
WILSON MAAS,Stavanger Øst,Høyevarde ankring,2022-01-13 00:50:00+00:00,2022-01-13 04:15:00+00:00
BERGFJORD,Voll - Skien,Mo i Rana,2022-01-13 17:00:00+00:00,2022-01-17 16:20:00+00:00
SIRIUS,Recheche Fjorden,Murmansk,2022-01-14 03:00:00+00:00,2022-01-17 01:00:00+00:00
KEY EAST,Myre-Øksnes,Myre-Øksnes,2022-01-14 12:15:00+00:00,2022-01-14 13:00:00+00:00
VESTBRIS,Randers,Valberg - Kragerø,2022-01-14 01:00:00+00:00,2022-01-14 08:10:00+00:00
AURORA HORIZON,Dusavik,Offshoreinst. Nordsjøen,2022-01-13 00:35:00+00:00,2022-01-13 10:30:00+00:00
PIRAJA,Kristiansand,Kristiansand,2022-01-09 18:00:00+00:00,2022-01-13 06:25:00+00:00
FRIGG W,Rotterdam,Høgset,2022-01-12 19:00:00+00:00,2022-01-15 14:00:00+00:00
ANMI,Ålvik,Rekefjord,2022-01-14 20:00:00+00:00,2022-01-15 11:00:00+00:00
ANMI,Rekefjord,Horsens,2022-01-15 23:00:00+00:00,2022-01-17 03:00:00+00:00
VIKING PRINCESS,Mongstadbase,Offshoreinst. Nordsjøen,2022-01-13 19:00:00+00:00,2022-01-14 19:00:00+00:00
SAMSKIP KVITBJORN,Harstad ,Tromsø,2022-01-13 12:15:00+00:00,2022-01-13 18:10:00+00:00
KADRI,Foynes,Molde,2022-01-12 20:00:00+00:00,2022-01-16 02:55:00+00:00
VOS VOYAGER,Offshore,Mongstadbase,2022-01-16 14:00:00+00:00,2022-01-17 08:20:00+00:00
SOLFJORD,Brevik,Litangen - Kragerø,2022-01-13 11:00:00+00:00,2022-01-13 15:00:00+00:00
SHETLAND,Førde,Alvika,2022-01-14 07:00:00+00:00,2022-01-14 18:50:00+00:00
BRO AGNES,Kårstø,Le Havre,2022-01-16 09:18:00+00:00,2022-01-18 11:00:00+00:00
ROSTEIN,Lauksundet,Kvalfjord,2022-01-12 16:20:00+00:00,2022-01-12 21:00:00+00:00
REMBRANDT VAN RIJN,Tromsø,Tromsø,2022-01-13 06:30:00+00:00,2022-01-14 20:00:00+00:00
CTMA RANGER,Stavanger,Haugesund,2022-01-13 17:00:00+00:00,2022-01-13 20:30:00+00:00
FJORDSTRAUM,Kristiansund,Sandnessjøen,2022-01-17 10:00:00+00:00,2022-01-18 06:30:00+00:00
MILA,Oslo,Riga,2022-01-17 12:00:00+00:00,2022-01-20 11:00:00+00:00
EEMS COBALT,Delfzijl,Hellvik,2022-01-13 18:30:00+00:00,2022-01-15 11:00:00+00:00
PEAK SKORPO,Fredrikstad,Vaksdal,2022-01-14 20:35:00+00:00,2022-01-16 08:00:00+00:00
NAMSOS,Stjernsundet,Tromsø,2022-01-10 16:00:00+00:00,2022-01-11 09:30:00+00:00
ANTARCTIC II,Fiskarstrand,Lerwick,2022-01-14 07:10:00+00:00,2022-01-15 02:00:00+00:00
LONNINGEN,Sandnessjøen,Nordsjøen,2022-01-14 08:05:00+00:00,2022-01-15 08:00:00+00:00
VESTERALEN,Harstad ,Trondheim,2022-01-14 19:00:00+00:00,2022-01-16 11:00:00+00:00
FALKVIK,Kollsnes Øst,Eikelandsosen,2022-01-14 12:20:00+00:00,2022-01-14 17:55:00+00:00
PLUTO,Harlingen,Sarpsborg,2022-01-14 03:30:00+00:00,2022-01-17 01:30:00+00:00
XIN DA HAI,Gibraltar,Narvik,2022-01-08 19:00:00+00:00,2022-01-19 11:35:00+00:00
POLARLYS,Lødingen Ankring,Harstad ,2022-01-16 08:00:00+00:00,2022-01-16 11:00:00+00:00
360 SUPPLIER,Blomvåg,Storesund,2022-01-15 01:10:00+00:00,2022-01-15 12:00:00+00:00
GULLHA,Svelvik,Oslo,2022-01-14 15:30:00+00:00,2022-01-14 19:55:00+00:00
SIEM SYMPHONY,Risavika,Offshoreinst. Nordsjøen,2022-01-14 15:00:00+00:00,2022-01-15 03:00:00+00:00
BRIS,Hanstholm,Kristiansand,2022-01-14 16:30:00+00:00,2022-01-14 23:30:00+00:00
MISIDA,Risavika,Bergen,2022-01-16 07:50:00+00:00,2022-01-16 15:05:00+00:00
SEAGAS LOYALTY,Rotterdam,Falkeidflæet Ankring,2022-01-14 09:30:00+00:00,2022-01-15 15:25:00+00:00
BERGEN STAR,Risavika,Mongstad,2022-01-14 22:30:00+00:00,2022-01-15 10:30:00+00:00
NYFJELL,Jelsa,Bøneset - Karmøy,2022-01-15 02:00:00+00:00,2022-01-15 06:00:00+00:00
PIONEER KNUTSEN,Valsneset,Mosjøen,2022-01-15 09:00:00+00:00,2022-01-16 01:00:00+00:00
LIBAS,Mangerfjorden,Offshore,2022-01-14 23:30:00+00:00,2022-01-17 19:00:00+00:00
MISANA,Håvik,Risavika,2022-01-15 15:10:00+00:00,2022-01-15 17:25:00+00:00
EAGLE BALDER,Gulen,Gullfaks,2022-01-17 05:00:00+00:00,2022-01-17 11:00:00+00:00
K. CONFIDENCE,Narvik Reden,Narvik,2022-01-21 14:00:00+00:00,2022-01-21 15:00:00+00:00
SJERNAROY,Volda,Volda,2022-01-15 14:00:00+00:00,2022-01-15 22:30:00+00:00
PEAK SAUDA,Årdal - Hjelmeland,Mandal,2022-01-15 13:05:00+00:00,2022-01-16 02:40:00+00:00
ROHAV,Haugsøytangen Ankring,Spildepollen,2022-01-13 22:00:00+00:00,2022-01-14 04:50:00+00:00
GRATEFUL,Nord-Atlanteren,Egersund,2022-01-15 05:00:00+00:00,2022-01-16 09:30:00+00:00
MEKHANIK YARTSEV,St Petersburg,Byggnes - Karmøy,2022-01-07 10:51:00+00:00,2022-01-16 00:00:00+00:00
HAVILA CHARISMA,Nordsjøen,Botnaneset - Flora,2022-01-15 20:20:00+00:00,2022-01-16 01:00:00+00:00
WITH FROHAVET,Fiskarstrand,Ørsta,2022-01-16 17:00:00+00:00,2022-01-16 19:00:00+00:00
AQUA HAVSOY,Uløybukt,Herøy ferjekai,2022-01-16 10:20:00+00:00,2022-01-18 01:00:00+00:00
ARCTICA,Sture,Porvoo ,2022-01-09 16:00:00+00:00,2022-01-13 08:00:00+00:00
ASVAERFJORD,Ottersøy,Ottersøy,2022-01-06 03:00:00+00:00,2022-01-06 17:00:00+00:00
NORA THOMSEN,Tyborøn,Storesund,2022-01-05 10:00:00+00:00,2022-01-06 15:00:00+00:00
HOLMOY,Sortland,Barentshavet,2022-01-11 01:00:00+00:00,2022-01-11 07:00:00+00:00
VIKING AVANT,Rypefjord,Offshoreinst. Barentshavet,2022-01-05 19:45:00+00:00,2022-01-06 09:00:00+00:00
HORDAFOR VII,Brattvåg,Hestvika,2022-01-05 20:10:00+00:00,2022-01-06 05:00:00+00:00
UDVAAR III,Nordsjøen,Kristiansand,2022-01-05 22:13:00+00:00,2022-01-06 03:59:00+00:00
HAGLAND CHIEF,Hausvikstrand,Den Helder,2022-01-06 17:15:00+00:00,2022-01-08 08:05:00+00:00
SEA-CARGO EXPRESS,Trondheim,Molde,2022-01-06 15:35:00+00:00,2022-01-07 01:15:00+00:00
SMØLA VIKING,Bodø,Leknes,2022-01-06 08:30:00+00:00,2022-01-06 14:30:00+00:00
NORMAND MAXIMUS,Hammerfest,Hammerfest ankring,2022-01-07 15:00:00+00:00,2022-01-07 16:00:00+00:00
SAMSKIP COMMANDER,Bergen,Måløy,2022-01-07 20:35:00+00:00,2022-01-08 05:50:00+00:00
SAMSKIP COMMANDER,Måløy,Alvika,2022-01-08 11:50:00+00:00,2022-01-08 16:45:00+00:00
PAULA,Killybegs,Harøysundet,2022-01-02 11:00:00+00:00,2022-01-07 04:00:00+00:00
CL ATLAS,Vlissingen,Frierfjorden Ankring,2022-01-10 00:05:00+00:00,2022-01-12 02:40:00+00:00
HANNAH KRISTINA,Botnaneset - Flora,Mongstadbase,2022-01-07 02:00:00+00:00,2022-01-07 07:00:00+00:00
FREESIA SEAWAYS,Göteborg,Brevik,2022-01-06 16:00:00+00:00,2022-01-06 22:55:00+00:00
WITH MARINE,Flekkefjord,Volda,2022-01-06 10:00:00+00:00,2022-01-07 16:00:00+00:00
ROSTEIN,Kvalfjord,Skjervøy,2022-01-06 09:00:00+00:00,2022-01-06 15:00:00+00:00
SC CONNECTOR,Risavika,Farsund,2022-01-07 22:50:00+00:00,2022-01-08 06:10:00+00:00
ELBSAILOR,Moss,Brevik,2022-01-09 16:24:00+00:00,2022-01-09 22:01:00+00:00
TRENT NAVIGATOR,Moerdijk,Eikefet,2022-01-07 13:00:00+00:00,2022-01-09 13:00:00+00:00
BB WORKER,Kårstø,Stavanger,2022-01-07 11:00:00+00:00,2022-01-07 13:00:00+00:00
HAGLAND CARRIER ,Den Helder,Hausvikstrand,2022-01-07 16:35:00+00:00,2022-01-08 23:15:00+00:00
MEANDI,Larvik,Kristiansand,2022-01-12 19:00:00+00:00,2022-01-13 02:40:00+00:00
HANNAH KRISTINA,Håvik,Dusavik,2022-01-08 04:00:00+00:00,2022-01-08 06:00:00+00:00
PEAK SAUDA,Belfast,Tyssedal,2022-01-07 19:00:00+00:00,2022-01-11 05:00:00+00:00
UDVAAR III,Nordsjøen,Kristiansand,2022-01-07 15:54:00+00:00,2022-01-07 18:15:00+00:00
COMABAR,Storesund,Mongstadbase,2022-01-07 20:30:00+00:00,2022-01-08 08:00:00+00:00
VIKNATRANS,Salten,Lekaflaket Ankring,2022-01-08 11:00:00+00:00,2022-01-09 06:00:00+00:00
TRANS CARRIER,Husøy - Karmøy,Risavika,2022-01-08 08:35:00+00:00,2022-01-08 11:15:00+00:00
COMABAR,Mongstadbase,Botnaneset - Flora,2022-01-08 09:00:00+00:00,2022-01-08 16:00:00+00:00
VIKTORIA LADY,Torsken,Harstad ,2022-01-08 17:00:00+00:00,2022-01-08 20:00:00+00:00
SUPERSPEED 2,Larvik,Hirtshals,2022-01-08 11:45:00+00:00,2022-01-08 15:30:00+00:00
NORVIND,Mosjøen,Namsos,2022-01-08 23:55:00+00:00,2022-01-09 12:50:00+00:00
NORDERVEG,Uthaug,Tromsø,2022-01-08 16:30:00+00:00,2022-01-10 12:00:00+00:00
WITH MARINE,Valsneset,Visnes - Eide,2022-01-09 05:00:00+00:00,2022-01-10 07:00:00+00:00
ISLAND CONTENDER,Risavika,Offshoreinst. Nordsjøen,2022-01-08 21:00:00+00:00,2022-01-09 11:00:00+00:00
AURORA EXPLORER,Tromsø,Tromsø,2022-01-08 18:00:00+00:00,2022-01-08 22:00:00+00:00
