fartoynavn,avgangshavn_navn,ankomsthavn_navn,etd_estimert_avgangstidspunkt,ankomsttidspunkt,dep_lat,dep_lon,arr_lat,arr_lon
YARA NAUMA,Glomfjord,"Ukjent lokasjon, ukjent land",2022-01-03 07:00:00+00:00,2022-01-06 19:00:00+00:00,66.8122881,13.9493751,,
GOLFSTRAUM,Risavika,Risavika,2022-01-07 07:05:00+00:00,2022-01-07 07:45:00+00:00,58.9266035,5.598135,58.9266035,5.598135
KEY BREEZE,Stavanger Øst,Vopnafjørdur,2022-01-02 20:00:00+00:00,2022-01-05 09:00:00+00:00,58.9694029,5.7579687,65.7540583,-14.8294887
FITNES,Dirdal,Dirdal,2022-01-01 19:00:00+00:00,2022-01-01 19:50:00+00:00,58.8345393,6.1813181,58.8345393,6.1813181
PRESTFJORD,Sortland,Barentshavet,2022-01-05 19:00:00+00:00,2022-01-06 04:00:00+00:00,68.767296,15.3679179,74.3478217,37.809937
SVEALAND,Tromsø,Bergeneset,2022-01-03 22:59:00+00:00,2022-01-04 02:00:00+00:00,69.6516345,18.9558585,69.2367639,19.3599972
VERMLAND,Storesund,Storesund,2022-01-04 06:00:00+00:00,2022-01-04 06:25:00+00:00,60.316757,4.984269,60.316757,4.984269
AUSEKLIS,Hammerfest,Tromsø,2022-01-04 13:05:00+00:00,2022-01-05 08:00:00+00:00,70.6413392,23.8360801,69.6516345,18.9558585
HERMAS,Kambo,Sandnes,2022-01-08 14:00:00+00:00,2022-01-09 15:30:00+00:00,59.4776453,10.6923218,58.983132,6.394641
RO MASTER,Lovund,Herøy ferjekai,2022-01-04 12:10:00+00:00,2022-01-04 15:00:00+00:00,66.3637329,12.3383562,65.9682415,12.2874316
BAL BULK,Halden,Horsens,2022-01-05 12:00:00+00:00,2022-01-06 17:00:00+00:00,59.0680555,11.537191,55.8611696,9.8444774
GOLFSTRAUM,Mongstadbase,Teesport,2022-01-11 22:30:00+00:00,2022-01-13 10:00:00+00:00,,,54.6010289,-1.1466014
NORTH SEA GIANT,Offshore,Randaberg,2022-01-01 13:30:00+00:00,2022-01-02 19:30:00+00:00,33.5762077,-117.8266011,59.0210666,5.5648766
NORHOLM,Porsgrunn,Herre,2022-01-12 14:10:00+00:00,2022-01-12 15:20:00+00:00,59.103735,9.7363538,44.0071262,-0.024585
NORMAND NALEY,Botnaneset - Flora,Offshoreinst. Nordsjøen,2022-01-01 14:25:00+00:00,2022-01-01 20:00:00+00:00,61.6079804,5.0674224,,
SILVER STAR,Alvika,Ålesund,2022-01-02 02:00:00+00:00,2022-01-02 03:00:00+00:00,62.4845396,6.403646,62.4802363,6.5550739
SCANBIO DART,Rørvik,Myre-Øksnes,2022-01-01 07:20:00+00:00,2022-01-02 16:00:00+00:00,64.8615745,11.2379128,68.9148944,15.0890843
NYKSUND,Ålesund,Husøy - Karmøy,2022-01-02 09:00:00+00:00,2022-01-03 11:00:00+00:00,62.4802363,6.5550739,59.3403428,5.3070642
ENERGY SWAN,Risavika,Stavanger,2022-01-02 09:55:00+00:00,2022-01-02 11:45:00+00:00,58.9266035,5.598135,58.9699675,5.7318101
SVEALAND,Harstad ,Harstad ,2022-01-02 23:30:00+00:00,2022-01-03 00:00:00+00:00,,,,
TRYGVE B ,Barentshavet,Honningsvåg,2022-01-03 06:00:00+00:00,2022-01-03 09:00:00+00:00,74.3478217,37.809937,70.9802638,25.977841
NORMAND JARSTEIN,Haugesund,Husøy - Karmøy,2022-01-03 16:50:00+00:00,2022-01-03 18:10:00+00:00,59.4682478,5.0827612,59.3403428,5.3070642
